sale_id,sale_ts,customer_id,product_id,qty,price,discount
1,2023-04-19 20:38:09,1,279,4,462.46,0.08
2,2023-10-16 23:57:39,1,107,1,425.96,
3,2023-10-28 05:14:59,2,435,4,153.14,0.17
4,2023-07-19 19:40:52,2,41,3,371.17,0.21
5,2023-09-14 12:35:32,3,310,1,119.91,
6,2023-11-11 21:41:07,3,231,4,166.56,0.24
7,2023-09-09 08:18:22,4,195,3,190.84,0.18
8,2023-02-13 22:31:23,4,79,3,357.99,
9,2023-07-14 23:04:46,5,3,2,161.76,
10,2023-06-07 16:11:32,5,221,3,55.60,
11,2023-08-18 20:16:45,6,284,5,56.13,
12,2023-02-17 21:44:00,6,212,5,432.54,
13,2023-07-18 03:05:01,7,195,5,489.20,0.05
14,2023-03-28 05:03:18,7,223,3,249.10,
15,2023-05-22 15:19:54,8,321,3,43.08,0.07
16,2023-09-11 21:37:11,8,171,5,57.95,0.28
17,2023-11-14 13:49:52,9,305,3,218.16,0.20
18,2023-03-11 10:56:18,9,204,3,349.17,0.05
19,2023-06-13 10:36:40,10,403,4,392.08,0.08
20,2023-07-21 13:17:23,10,394,1,103.90,0.05
21,2023-10-09 00:58:47,11,36,4,108.78,0.25
22,2023-07-29 18:10:44,11,405,2,124.80,0.21
23,2023-07-13 02:41:34,12,472,4,242.22,0.15
24,2023-12-21 15:13:47,12,416,5,,0.21
25,2023-10-02 21:37:13,13,314,1,127.87,0.05
26,2023-01-23 20:30:22,13,51,4,169.14,0.03
27,2023-05-13 08:04:58,14,192,5,281.21,0.07
28,2023-07-20 16:51:34,14,152,5,79.62,0.14
29,2023-08-01 03:07:33,15,402,1,366.42,0.10
30,2023-04-16 18:58:23,15,35,4,53.32,0.14
31,2023-06-03 01:37:36,16,410,1,,0.03
32,2023-03-26 08:52:50,16,119,5,84.27,0.29
33,2023-07-27 22:55:43,17,453,2,330.37,0.22
34,2023-04-12 16:22:06,17,361,5,7.20,0.08
35,2023-02-02 21:01:14,18,59,1,270.76,0.06
36,2023-05-15 17:49:17,18,59,5,160.14,0.12
37,2023-06-28 12:48:55,19,315,4,407.80,0.09
38,2023-10-30 03:05:08,19,192,2,123.09,
39,2023-12-22 05:08:48,20,250,5,300.23,0.13
40,2023-11-22 19:33:55,20,162,2,247.37,
41,2023-08-19 22:33:07,21,197,1,476.16,0.06
42,2023-10-15 18:24:08,21,86,4,248.40,0.13
43,2023-02-12 20:35:07,22,116,1,114.16,
44,2023-10-03 10:30:36,22,262,2,285.00,0.15
45,2023-02-27 20:51:06,23,388,1,273.84,0.16
46,2023-01-22 16:04:10,23,127,5,215.45,0.20
47,2023-06-02 01:10:24,24,444,4,431.79,
48,2023-03-02 08:37:36,24,324,2,296.02,0.21
49,2023-08-08 06:02:35,25,180,5,107.28,0.02
50,2023-09-30 10:14:02,25,137,5,165.21,0.09
51,2023-09-21 03:28:01,26,444,2,393.92,0.30
52,2023-12-02 04:37:11,26,347,2,357.14,0.23
53,2023-07-21 17:49:14,27,325,2,138.01,0.14
54,2023-02-17 14:40:02,27,250,5,348.88,0.14
55,2023-06-17 21:11:18,28,498,1,424.35,
56,2023-08-23 23:06:49,28,423,3,398.86,0.29
57,2023-04-19 18:00:43,29,437,3,145.38,0.04
58,2023-09-06 12:30:54,29,9,1,,0.25
59,2023-03-05 05:45:07,30,466,4,495.96,0.30
60,2023-03-09 23:39:56,30,129,3,466.70,0.20
61,2023-02-12 13:32:18,31,220,2,314.67,0.23
62,2023-12-02 03:19:13,31,116,1,,0.04
63,2023-09-23 16:12:15,32,441,1,,0.04
64,2023-08-05 04:48:44,32,161,4,194.62,0.03
65,2023-07-08 10:53:43,33,347,2,407.62,0.19
66,2023-03-15 02:29:26,33,110,5,307.11,0.11
67,2023-11-18 05:30:40,34,72,4,223.98,0.27
68,2023-03-05 21:27:56,34,331,4,217.55,0.07
69,2023-02-13 09:02:07,35,14,5,361.98,0.28
70,2023-12-04 10:58:57,35,28,2,257.21,0.09
71,2023-05-03 18:01:05,36,7,4,252.29,0.16
72,2023-07-04 11:31:20,36,89,2,420.29,0.16
73,2023-08-30 02:39:27,37,486,1,11.83,0.28
74,2023-07-23 18:26:42,37,43,3,253.02,0.21
75,2023-11-24 19:32:08,38,105,5,142.35,0.15
76,2023-03-21 19:31:45,38,34,3,318.98,0.20
77,2023-06-08 15:55:42,39,312,2,47.68,0.14
78,2023-01-29 11:15:39,39,488,2,355.41,0.05
79,2023-06-27 19:02:31,40,400,5,361.78,0.04
80,2023-05-18 04:17:53,40,500,1,217.52,0.08
81,2023-10-23 22:50:51,41,440,1,257.84,
82,2023-10-18 06:04:33,41,60,3,387.80,0.20
83,2023-04-27 18:31:32,42,242,1,,0.07
84,2023-07-06 13:56:37,42,412,2,480.37,
85,2023-12-02 15:16:07,43,40,2,211.05,0.08
86,2023-10-20 13:34:24,43,24,1,451.46,0.24
87,2023-07-25 02:30:34,44,234,4,387.90,0.03
88,2023-01-05 13:25:54,44,189,2,393.33,0.07
89,2023-10-30 17:57:45,45,478,2,275.55,0.05
90,2023-07-29 00:52:13,45,172,2,319.79,0.00
91,2023-01-01 23:55:54,46,272,4,364.97,
92,2023-05-02 15:17:06,46,144,4,486.42,
93,2023-02-17 01:35:54,47,499,2,262.28,0.11
94,2023-02-13 21:08:42,47,32,1,320.42,0.18
95,2023-08-11 04:45:32,48,426,2,426.20,0.12
96,2023-06-17 11:34:48,48,300,4,41.97,0.23
97,2023-02-25 05:39:29,49,494,1,235.70,0.16
98,2023-04-17 16:27:13,49,414,3,426.98,
99,2023-12-18 11:04:34,50,47,5,,0.10
100,2023-12-31 09:02:14,50,90,3,29.23,0.25
101,2023-01-16 14:43:24,51,53,4,277.31,
102,2023-03-13 04:25:19,51,206,1,391.58,0.06
103,2023-07-10 22:56:54,52,34,1,133.12,0.01
104,2023-04-12 23:31:10,52,63,4,50.53,0.24
105,2023-01-22 16:47:03,53,16,1,289.07,0.12
106,2023-07-15 15:32:03,53,77,2,454.61,0.13
107,2023-01-18 22:21:32,54,246,5,325.40,0.26
108,2023-02-01 03:11:37,54,128,3,212.52,0.24
109,2023-11-19 19:47:38,55,249,1,392.05,0.16
110,2023-06-26 20:35:41,55,306,5,138.87,
111,2023-04-23 01:04:00,56,120,3,495.81,0.23
112,2023-03-23 03:38:44,56,29,2,136.93,0.28
113,2023-04-23 20:57:37,57,304,4,420.42,0.05
114,2023-06-12 13:03:46,57,289,5,,0.28
115,2023-03-14 20:30:07,58,90,2,406.15,0.16
116,2023-09-09 01:22:55,58,245,1,302.82,
117,2023-01-01 12:04:41,59,433,5,69.59,0.28
118,2023-06-15 02:10:06,59,57,1,353.82,
119,2023-09-27 13:17:06,60,155,1,471.25,0.03
120,2023-06-15 04:58:04,60,163,2,221.25,0.15
121,2023-03-31 20:27:39,61,158,5,115.50,0.05
122,2023-12-19 10:43:22,61,436,2,5.89,0.17
123,2023-10-18 01:10:44,62,290,2,460.91,0.07
124,2023-02-23 18:03:55,62,326,2,43.51,0.10
125,2023-02-15 23:16:08,63,132,3,136.28,0.02
126,2023-02-25 00:02:47,63,253,1,367.63,0.27
127,2023-07-13 12:47:16,64,389,5,415.26,0.17
128,2023-12-18 08:12:47,64,11,2,400.60,
129,2023-06-13 09:30:26,65,281,1,89.20,0.22
130,2023-02-17 12:18:15,65,335,5,447.15,0.13
131,2023-03-26 22:06:42,66,357,4,55.12,0.06
132,2023-10-11 19:39:55,66,202,3,152.21,
133,2023-10-20 20:00:45,67,339,4,183.61,0.09
134,2023-11-17 21:51:11,67,42,4,17.74,0.09
135,2023-08-31 04:12:19,68,329,3,238.12,0.08
136,2023-10-06 14:06:33,68,226,2,193.82,0.01
137,2023-08-27 09:35:24,69,50,2,284.30,0.21
138,2023-02-13 12:31:01,69,199,5,379.45,0.02
139,2023-09-25 15:14:30,70,154,5,468.50,0.07
140,2023-02-10 14:22:27,70,318,1,450.73,0.20
141,2023-03-17 04:22:45,71,65,4,492.26,0.24
142,2023-01-22 15:24:52,71,428,1,220.52,0.19
143,2023-11-01 09:23:21,72,199,3,457.52,
144,2023-10-12 14:28:02,72,403,5,141.72,0.26
145,2023-12-25 22:41:05,73,302,5,212.70,0.04
146,2023-10-26 03:38:53,73,177,1,54.99,0.16
147,2023-07-30 09:37:00,74,207,4,288.15,0.05
148,2023-03-15 22:30:34,74,354,5,203.85,0.26
149,2023-05-02 01:47:40,75,419,4,449.03,
150,2023-06-05 11:19:16,75,117,3,429.83,0.29
151,2023-03-10 10:56:24,76,46,4,163.83,0.18
152,2023-04-07 16:04:56,76,192,2,206.55,0.15
153,2023-01-29 18:45:37,77,269,2,356.24,0.23
154,2023-10-19 01:03:14,77,234,2,417.30,0.07
155,2023-01-26 13:07:15,78,64,2,412.64,0.19
156,2023-12-15 01:06:45,78,301,2,299.05,0.26
157,2023-10-10 12:44:03,79,146,3,447.77,0.21
158,2023-01-15 14:04:27,79,332,1,288.27,0.26
159,2023-04-26 07:31:36,80,350,3,259.07,0.29
160,2023-01-05 17:15:40,80,130,2,302.57,
161,2023-11-08 11:07:17,81,239,3,191.36,0.08
162,2023-06-04 18:57:21,81,432,5,55.64,0.20
163,2023-07-11 20:26:31,82,33,5,152.75,
164,2023-06-22 10:03:59,82,153,3,134.27,0.27
165,2023-04-07 05:27:31,83,308,5,450.35,0.24
166,2023-07-26 11:38:08,83,215,2,329.42,0.08
167,2023-07-27 14:08:11,84,366,1,497.40,0.10
168,2023-04-24 19:27:55,84,431,4,337.57,0.25
169,2023-12-03 20:19:30,85,287,2,238.04,0.22
170,2023-04-04 12:13:12,85,455,1,115.55,0.13
171,2023-06-19 13:31:57,86,28,3,234.56,
172,2023-11-21 21:14:50,86,445,5,40.25,0.15
