tool,scenario,n,mean_ms,variance_ms2,std_ms,min_ms,median_ms,p95_ms,max_ms,cv
dbt,S1,20,67544.050,10233582.366,3198.997,58848.000,68170.500,71000.000,73074.000,0.047362
dbt,S2,20,32140.000,23548257.053,4852.655,29429.000,29884.000,36836.000,50019.000,0.150985
dbt,S4,20,30283.000,1173324.947,1083.201,29194.000,29919.000,31613.000,33757.000,0.035769
dbt,S6,20,30803.250,2150326.618,1466.399,29433.000,30299.500,32629.000,35327.000,0.047605
pytest_sqlalchemy,S1,20,3364.750,1205.461,34.720,3314.000,3364.000,3405.000,3461.000,0.010319
pytest_sqlalchemy,S2,20,7154.350,75452.450,274.686,6481.000,7238.500,7434.000,7606.000,0.038394
pytest_sqlalchemy,S4,20,3290.750,796.513,28.223,3256.000,3285.500,3358.000,3371.000,0.008576
pytest_sqlalchemy,S6,20,3341.250,1664.513,40.798,3296.000,3329.000,3426.000,3453.000,0.012211
pytest_testcontainers,S1,20,28189.000,42625655.895,6528.833,24685.000,24993.000,43028.000,43459.000,0.231609
pytest_testcontainers,S2,20,31492.750,107459147.250,10366.250,24417.000,24667.500,48144.000,50124.000,0.329163
pytest_testcontainers,S4,20,24526.200,8017.116,89.538,24336.000,24538.500,24630.000,24697.000,0.003651
pytest_testcontainers,S6,20,24588.400,9503.411,97.485,24340.000,24604.000,24704.000,24740.000,0.003965
sql_test_kit,S1,20,30644.100,5387112.200,2321.015,26190.000,30926.000,33804.000,34241.000,0.075741
sql_test_kit,S2,20,15928.250,8835.882,93.999,15815.000,15897.500,16099.000,16107.000,0.005901
sql_test_kit,S4,20,16072.600,10742.358,103.645,15771.000,16068.000,16236.000,16255.000,0.006449
sql_test_kit,S6,20,16104.800,7462.274,86.384,15926.000,16125.500,16217.000,16244.000,0.005364
